Enemy Name,Locale,Tier,Humanoid,HP,ATK,DEF,SPE,Innate Skill,Class/Skill,Primary Weapon,Primary Weapon Type,Primary Weapon Ammo/CD,Primary Weapon Strike,Primary Weapon Spell/Skill,Secondary Weapon,Secondary Weapon Type,Secondary Weapon Ammo/CD,Secondary Weapon Strike,Secondary Weapon Spell/Skill,Artifact,Artifact Spell,Artifact Reactive
Pixie Swarm,The Forest of Dreams,T1,No,180,45,45,75,Glitterdust: Enemies who Strike the Pixie Swarm have -15 Attack for 2 rounds.,,Fey Dust,Magic,CD 2,55 Power.,,,,,,,,,
Blackthorn Boar,The Forest of Dreams,T1,No,230,55,55,35,Bristled Hide: Takes 20% less damage from Ranged Strikes.,,Tusks,Melee,—,80 Power.,,,,,,,,,
Moss Sprite,The Forest of Dreams,T1,Yes,170,40,50,65,,Cleric / Healer: +25 HP. Healing effects restore +25 HP.,Nature's Touch,Magic,CD 1,50 Power.,,,,,,,,,
Woodwose,The Forest of Dreams,T1,Yes,250,45,60,30,,"Warden / Bulwark: +50 HP. +25 Defense while frontline, +15 otherwise.",Gnarled Club,Melee,—,85 Power.,,,,,,,,,
Will-o'-Wisp,The Forest of Dreams,T1,No,150,50,40,80,Luring Light: Taunts the target of its Strike for 1 round.,,Ghost Flame,Magic,CD 1,55 Power.,,,,,,,,,
Faun Piper,The Forest of Dreams,T1,Yes,190,45,45,60,,Cleric / Medic: +50 HP. Healing effects cleanse status conditions and stat penalties.,Thorn Dart,Ranged,3 Ammo,45 Power.,,,,,,,,,
Unicorn,The Forest of Dreams,T2,No,270,55,65,50,Purifying Aura: Allies restore 20 HP at end of round.,,Spiraling Horn,Melee,—,95 Power.,"Moonbeam (Spell, CD 2): Target ally restores 65 HP.",,,,,,,,
Erlking Scout,The Forest of Dreams,T2,Yes,220,60,50,70,,Ranger / Deadeye: +15 HP. Ranged Strikes deal +15 damage.,Fey Shortbow,Ranged,3 Ammo,60 Power.,"Fey Arrow (Spell, CD 2): Next Strike Roots target for 2 rounds.",,,,,,,,
Cockatrice,The Forest of Dreams,T2,No,240,55,60,55,Petrifying Gaze: Enemies Struck have -25 Speed for 2 rounds.,,Stone Beak,Magic,CD 1,70 Power.,Stone Feathers (Skill): Takes 15% less damage while frontline.,,,,,,,,
Treant Watcher,The Forest of Dreams,T2,Yes,290,50,70,40,,"Warden / Vigilant: +50 HP. Guarded for 2 rounds when Swapping, Switching, or Skipping.",Ironwood Limb,Melee,—,90 Power.,"Deep Roots (Spell, CD 2): Root target for 2 rounds. Guard self for 2 rounds.",,,,,,,,
